[2025-10-02 12:21:48] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:51] Path: /Courses, User: Anonymous
[2025-10-02 12:21:51] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:51] Path: /Departments, User: Anonymous
[2025-10-02 12:21:51] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:52] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:21:52] Path: /css/site.css, User: Anonymous
[2025-10-02 12:21:59] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:22:00] Path: /Departments, User: Anonymous
[2025-10-02 12:22:01] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:03] Path: /Departments/Details/1, User: Anonymous
[2025-10-02 12:22:04] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:06] Path: /Departments, User: Anonymous
[2025-10-02 12:22:06] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:07] Path: /Departments/Edit/1, User: Anonymous
[2025-10-02 12:22:07] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:08] Path: /Departments, User: Anonymous
[2025-10-02 12:22:08] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:09] Path: /Departments/Edit/1, User: Anonymous
[2025-10-02 12:22:09] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:12] Path: /Departments/Edit/1, User: Anonymous
[2025-10-02 12:22:12] Path: /Departments, User: Anonymous
[2025-10-02 12:22:12] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:14] Path: /Departments/Delete/1, User: Anonymous
[2025-10-02 12:22:14] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:15] Path: /Departments/Delete/1, User: Anonymous
[2025-10-02 12:22:16] Path: /Departments, User: Anonymous
[2025-10-02 12:22:16] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:18] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:22:18] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:20] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:22:20] Path: /Departments, User: Anonymous
[2025-10-02 12:22:20] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:21] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:22:21] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:22] Path: /Departments/Create, User: Anonymous
[2025-10-02 12:22:22] Path: /Departments, User: Anonymous
[2025-10-02 12:22:22] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:24] Path: /Departments, User: Anonymous
[2025-10-02 12:22:24] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:26] Path: /Departments, User: Anonymous
[2025-10-02 12:22:26] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:29] Path: /Departments/Delete/3, User: Anonymous
[2025-10-02 12:22:29] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:30] Path: /Departments/Delete/3, User: Anonymous
[2025-10-02 12:22:30] Path: /Departments, User: Anonymous
[2025-10-02 12:22:30] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:32] Path: /Courses, User: Anonymous
[2025-10-02 12:22:32] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:33] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:22:33] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:38] Path: /Instructors, User: Anonymous
[2025-10-02 12:22:38] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:39] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:22:40] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:45] Path: /Courses, User: Anonymous
[2025-10-02 12:22:45] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:46] Path: /Courses/Create, User: Anonymous
[2025-10-02 12:22:47] Path: /css/site.css, User: Anonymous
[2025-10-02 12:22:51] Path: /Instructors, User: Anonymous
[2025-10-02 12:22:51] Path: /css/site.css, User: Anonymous
[2025-10-02 12:23:03] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:23:03] Path: /css/site.css, User: Anonymous
[2025-10-02 12:23:20] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:23:20] Path: /css/site.css, User: Anonymous
[2025-10-02 12:23:22] Path: /Instructors, User: Anonymous
[2025-10-02 12:23:23] Path: /css/site.css, User: Anonymous
[2025-10-02 12:26:30] Path: /, User: Anonymous
[2025-10-02 12:26:30] Path: /css/site.css, User: Anonymous
[2025-10-02 12:26:49] Path: /Instructors, User: Anonymous
[2025-10-02 12:26:53] Path: /css/site.css, User: Anonymous
[2025-10-02 12:26:54] Path: /Instructors/Create, User: Anonymous
[2025-10-02 12:26:54] Path: /css/site.css, User: Anonymous
